"";"Month";"n"
"1";2012-01-01;109
"2";2012-02-01;150
"3";2012-03-01;180
"4";2012-04-01;168
"5";2012-05-01;179
"6";2012-06-01;103
"7";2012-07-01;134
"8";2012-08-01;150
"9";2012-09-01;165
"10";2012-10-01;192
"11";2012-11-01;206
"12";2012-12-01;182
"13";2013-01-01;225
"14";2013-02-01;222
"15";2013-03-01;281
"16";2013-04-01;263
"17";2013-05-01;291
"18";2013-06-01;318
"19";2013-07-01;354
"20";2013-08-01;365
"21";2013-09-01;361
"22";2013-10-01;345
"23";2013-11-01;347
"24";2013-12-01;290
"25";2014-01-01;391
"26";2014-02-01;387
"27";2014-03-01;464
"28";2014-04-01;391
"29";2014-05-01;408
"30";2014-06-01;448
"31";2014-07-01;459
"32";2014-08-01;439
"33";2014-09-01;464
"34";2014-10-01;511
"35";2014-11-01;537
"36";2014-12-01;514
"37";2015-01-01;579
"38";2015-02-01;602
"39";2015-03-01;768
"40";2015-04-01;731
"41";2015-05-01;755
"42";2015-06-01;790
"43";2015-07-01;901
"44";2015-08-01;866
"45";2015-09-01;874
"46";2015-10-01;909
"47";2015-11-01;952
"48";2015-12-01;819
"49";2016-01-01;896
"50";2016-02-01;1058
"51";2016-03-01;1164
"52";2016-04-01;1194
"53";2016-05-01;1282
"54";2016-06-01;1301
"55";2016-07-01;1340
"56";2016-08-01;1499
"57";2016-09-01;1471
"58";2016-10-01;1522
"59";2016-11-01;1604
"60";2016-12-01;1487
"61";2017-01-01;1804
"62";2017-02-01;1777
"63";2017-03-01;2124
"64";2017-04-01;1883
"65";2017-05-01;2168
"66";2017-06-01;2122
"67";2017-07-01;2284
"68";2017-08-01;2214
"69";2017-09-01;2112
"70";2017-10-01;2390
"71";2017-11-01;2185
"72";2017-12-01;1923
"73";2018-01-01;2251
"74";2018-02-01;2187
"75";2018-03-01;2639
"76";2018-04-01;2709
"77";2018-05-01;3058
"78";2018-06-01;3182
"79";2018-07-01;3109
"80";2018-08-01;3215
"81";2018-09-01;280
