"";"Month";"n"
"1";2012-01-01;103
"2";2012-02-01;140
"3";2012-03-01;143
"4";2012-04-01;127
"5";2012-05-01;143
"6";2012-06-01;88
"7";2012-07-01;112
"8";2012-08-01;118
"9";2012-09-01;135
"10";2012-10-01;157
"11";2012-11-01;171
"12";2012-12-01;136
"13";2013-01-01;160
"14";2013-02-01;155
"15";2013-03-01;221
"16";2013-04-01;192
"17";2013-05-01;203
"18";2013-06-01;237
"19";2013-07-01;266
"20";2013-08-01;274
"21";2013-09-01;249
"22";2013-10-01;233
"23";2013-11-01;253
"24";2013-12-01;192
"25";2014-01-01;269
"26";2014-02-01;281
"27";2014-03-01;311
"28";2014-04-01;234
"29";2014-05-01;263
"30";2014-06-01;279
"31";2014-07-01;291
"32";2014-08-01;292
"33";2014-09-01;306
"34";2014-10-01;317
"35";2014-11-01;341
"36";2014-12-01;306
"37";2015-01-01;379
"38";2015-02-01;384
"39";2015-03-01;500
"40";2015-04-01;434
"41";2015-05-01;471
"42";2015-06-01;518
"43";2015-07-01;603
"44";2015-08-01;583
"45";2015-09-01;571
"46";2015-10-01;569
"47";2015-11-01;616
"48";2015-12-01;507
"49";2016-01-01;587
"50";2016-02-01;715
"51";2016-03-01;745
"52";2016-04-01;773
"53";2016-05-01;843
"54";2016-06-01;825
"55";2016-07-01;877
"56";2016-08-01;999
"57";2016-09-01;977
"58";2016-10-01;1015
"59";2016-11-01;1064
"60";2016-12-01;1023
"61";2017-01-01;1229
"62";2017-02-01;1233
"63";2017-03-01;1408
"64";2017-04-01;1229
"65";2017-05-01;1448
"66";2017-06-01;1419
"67";2017-07-01;1550
"68";2017-08-01;1469
"69";2017-09-01;1357
"70";2017-10-01;1566
"71";2017-11-01;1346
"72";2017-12-01;1176
"73";2018-01-01;1398
"74";2018-02-01;1367
"75";2018-03-01;1643
"76";2018-04-01;1665
"77";2018-05-01;1921
"78";2018-06-01;1879
"79";2018-07-01;2082
"80";2018-08-01;2122
"81";2018-09-01;192
