"";"Month";"n"
"1";2012-01-01;6
"2";2012-02-01;10
"3";2012-03-01;37
"4";2012-04-01;41
"5";2012-05-01;36
"6";2012-06-01;15
"7";2012-07-01;22
"8";2012-08-01;32
"9";2012-09-01;30
"10";2012-10-01;35
"11";2012-11-01;35
"12";2012-12-01;46
"13";2013-01-01;65
"14";2013-02-01;67
"15";2013-03-01;60
"16";2013-04-01;71
"17";2013-05-01;88
"18";2013-06-01;81
"19";2013-07-01;88
"20";2013-08-01;91
"21";2013-09-01;112
"22";2013-10-01;112
"23";2013-11-01;94
"24";2013-12-01;98
"25";2014-01-01;122
"26";2014-02-01;106
"27";2014-03-01;153
"28";2014-04-01;157
"29";2014-05-01;145
"30";2014-06-01;169
"31";2014-07-01;168
"32";2014-08-01;147
"33";2014-09-01;158
"34";2014-10-01;194
"35";2014-11-01;196
"36";2014-12-01;208
"37";2015-01-01;200
"38";2015-02-01;218
"39";2015-03-01;268
"40";2015-04-01;297
"41";2015-05-01;284
"42";2015-06-01;272
"43";2015-07-01;298
"44";2015-08-01;283
"45";2015-09-01;303
"46";2015-10-01;340
"47";2015-11-01;336
"48";2015-12-01;312
"49";2016-01-01;309
"50";2016-02-01;343
"51";2016-03-01;419
"52";2016-04-01;421
"53";2016-05-01;439
"54";2016-06-01;476
"55";2016-07-01;463
"56";2016-08-01;500
"57";2016-09-01;494
"58";2016-10-01;507
"59";2016-11-01;540
"60";2016-12-01;464
"61";2017-01-01;575
"62";2017-02-01;544
"63";2017-03-01;716
"64";2017-04-01;654
"65";2017-05-01;720
"66";2017-06-01;703
"67";2017-07-01;734
"68";2017-08-01;745
"69";2017-09-01;755
"70";2017-10-01;824
"71";2017-11-01;839
"72";2017-12-01;747
"73";2018-01-01;853
"74";2018-02-01;820
"75";2018-03-01;996
"76";2018-04-01;1044
"77";2018-05-01;1137
"78";2018-06-01;1303
"79";2018-07-01;1027
"80";2018-08-01;1093
"81";2018-09-01;88
